batch,world,deployment,execution_mode,terminal,valid_lock,semantic_plan_correct_P,end_to_end_success_J_D2
MAIN,main_013,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_013,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_013,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_013,deployment_B,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_013,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_014,deployment_A,N0_DIRECT_OUTPUT,UNKNOWN_DELIVERY,0,0,0
MAIN,main_014,deployment_A,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
MAIN,main_014,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_014,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_014,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_014,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_015,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_015,deployment_A,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_015,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_015,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_015,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_015,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_016,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_016,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_016,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_016,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_016,deployment_B,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_016,deployment_B,N2_DECLARATIVE_EXECUTION,UNKNOWN_DELIVERY,0,0,0
MAIN,main_017,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_017,deployment_A,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_017,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_017,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_017,deployment_B,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_017,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_018,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_018,deployment_A,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
MAIN,main_018,deployment_A,N2_DECLARATIVE_EXECUTION,UNKNOWN_DELIVERY,0,0,0
MAIN,main_018,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_018,deployment_B,N1_CALCULATOR,UNKNOWN_DELIVERY,0,0,0
MAIN,main_018,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_019,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_019,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_019,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_019,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_019,deployment_B,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_019,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_020,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_020,deployment_A,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_020,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_020,deployment_B,N0_DIRECT_OUTPUT,UNKNOWN_DELIVERY,0,0,0
MAIN,main_020,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_020,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_021,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_021,deployment_A,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_021,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_021,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_021,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_021,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_022,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_022,deployment_A,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
MAIN,main_022,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_022,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_022,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_022,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_023,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_023,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_023,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_023,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_023,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_023,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_024,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_024,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_024,deployment_A,N2_DECLARATIVE_EXECUTION,UNKNOWN_DELIVERY,0,0,0
MAIN,main_024,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_024,deployment_B,N1_CALCULATOR,UNKNOWN_DELIVERY,0,0,0
MAIN,main_024,deployment_B,N2_DECLARATIVE_EXECUTION,UNKNOWN_DELIVERY,0,0,0
MAIN,main_025,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_025,deployment_A,N1_CALCULATOR,UNKNOWN_DELIVERY,0,0,0
MAIN,main_025,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_025,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_025,deployment_B,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
MAIN,main_025,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_026,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_026,deployment_A,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
MAIN,main_026,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_026,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_026,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_026,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_027,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_027,deployment_A,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
MAIN,main_027,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_027,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_027,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_027,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_028,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_028,deployment_A,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
MAIN,main_028,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_028,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_028,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_028,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_029,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_029,deployment_A,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_029,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_029,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_029,deployment_B,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_029,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_030,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_030,deployment_A,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_030,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_030,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_030,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_030,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_031,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_031,deployment_A,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_031,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_031,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_031,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_031,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_032,deployment_A,N0_DIRECT_OUTPUT,UNKNOWN_DELIVERY,0,0,0
MAIN,main_032,deployment_A,N1_CALCULATOR,UNKNOWN_DELIVERY,0,0,0
MAIN,main_032,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_032,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_032,deployment_B,N1_CALCULATOR,UNKNOWN_DELIVERY,0,0,0
MAIN,main_032,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
