batch,world,deployment,execution_mode,terminal,valid_lock,semantic_plan_correct_P,end_to_end_success_J_D2
REPLICATION,replication_015,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
REPLICATION,replication_015,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_015,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_015,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
REPLICATION,replication_015,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_016,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_016,deployment_A,N1_CALCULATOR,INVALID,0,0,0
REPLICATION,replication_016,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
REPLICATION,replication_016,deployment_B,N0_DIRECT_OUTPUT,UNKNOWN_DELIVERY,0,0,0
REPLICATION,replication_016,deployment_B,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
REPLICATION,replication_016,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
