seed_group,task,seed,candidate_library,random_choice,aligned_choice,E
original_development,temporal_iid,404,original_five,global_linear,global_linear,0.0
original_development,temporal_future,404,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
original_development,temporal_future,404,original_five,global_linear,recent_linear_25pct,1.4890559413698259
original_development,entity_seen,404,augmented_nine,entity_fixed_effects_linear,entity_fixed_effects_linear,0.0
original_development,entity_seen,404,original_five,entity_mean,entity_mean,0.0
original_development,entity_unseen,404,augmented_nine,entity_fixed_effects_linear,entity_fixed_effects_linear,0.0
original_development,entity_unseen,404,original_five,entity_mean,global_linear,0.1735018727567563
original_development,temporal_iid,505,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
original_development,temporal_iid,505,original_five,global_linear,global_linear,0.0
original_development,temporal_future,505,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
original_development,temporal_future,505,original_five,global_linear,recent_linear_25pct,1.8071890715962684
original_development,entity_seen,505,augmented_nine,entity_fixed_effects_linear,entity_fixed_effects_linear,0.0
original_development,entity_seen,505,original_five,entity_mean,entity_mean,0.0
original_development,entity_unseen,505,augmented_nine,entity_fixed_effects_linear,global_linear,-0.01163162753012514
original_development,entity_unseen,505,original_five,entity_mean,global_linear,0.08879016658734389
confirmation_development,temporal_iid,606,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
confirmation_development,temporal_iid,606,original_five,global_linear,global_linear,0.0
confirmation_development,temporal_future,606,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
confirmation_development,temporal_future,606,original_five,global_linear,recent_linear_25pct,1.6367410279203694
confirmation_development,entity_seen,606,augmented_nine,entity_fixed_effects_linear,entity_fixed_effects_linear,0.0
confirmation_development,entity_seen,606,original_five,entity_mean,entity_mean,0.0
confirmation_development,entity_unseen,606,augmented_nine,entity_fixed_effects_linear,global_linear,-0.00929908949724054
confirmation_development,entity_unseen,606,original_five,entity_mean,global_linear,0.17397240082680246
confirmation_development,temporal_iid,707,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
confirmation_development,temporal_iid,707,original_five,global_linear,global_linear,0.0
confirmation_development,temporal_future,707,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
confirmation_development,temporal_future,707,original_five,global_linear,recent_linear_25pct,1.9573290772545489
confirmation_development,entity_seen,707,augmented_nine,entity_fixed_effects_linear,entity_fixed_effects_linear,0.0
confirmation_development,entity_seen,707,original_five,entity_mean,entity_mean,0.0
confirmation_development,entity_unseen,707,augmented_nine,entity_fixed_effects_linear,recent_linear_25pct,-0.006158339138170569
confirmation_development,entity_unseen,707,original_five,entity_mean,recent_linear_25pct,0.182974775881653
confirmation_development,temporal_iid,808,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
confirmation_development,temporal_iid,808,original_five,global_linear,global_linear,0.0
confirmation_development,temporal_future,808,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
confirmation_development,temporal_future,808,original_five,global_linear,recent_linear_25pct,1.5610000396139245
confirmation_development,entity_seen,808,augmented_nine,entity_fixed_effects_linear,entity_fixed_effects_linear,0.0
confirmation_development,entity_seen,808,original_five,entity_mean,entity_mean,0.0
confirmation_development,entity_unseen,808,augmented_nine,entity_fixed_effects_linear,time_linear_interaction,0.007654298303906358
confirmation_development,entity_unseen,808,original_five,entity_mean,recent_linear_50pct,0.22564936037654898
confirmation_development,temporal_iid,909,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
confirmation_development,temporal_iid,909,original_five,global_linear,global_linear,0.0
confirmation_development,temporal_future,909,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
confirmation_development,temporal_future,909,original_five,global_linear,recent_linear_25pct,1.2459489429900024
confirmation_development,entity_seen,909,augmented_nine,global_linear_entity_residual,entity_fixed_effects_linear,3.2804181743194987e-06
confirmation_development,entity_seen,909,original_five,entity_mean,entity_mean,0.0
confirmation_development,entity_unseen,909,augmented_nine,global_linear_entity_residual,entity_fixed_effects_linear,-5.22233537170702e-05
confirmation_development,entity_unseen,909,original_five,entity_mean,recent_linear_25pct,0.22210638794839233
confirmation_development,temporal_iid,1001,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
confirmation_development,temporal_iid,1001,original_five,global_linear,global_linear,0.0
confirmation_development,temporal_future,1001,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
confirmation_development,temporal_future,1001,original_five,global_linear,recent_linear_25pct,1.7226056539035246
confirmation_development,entity_seen,1001,augmented_nine,entity_fixed_effects_linear,entity_fixed_effects_linear,0.0
confirmation_development,entity_seen,1001,original_five,entity_mean,entity_mean,0.0
confirmation_development,entity_unseen,1001,augmented_nine,entity_fixed_effects_linear,entity_fixed_effects_linear,0.0
confirmation_development,entity_unseen,1001,original_five,entity_mean,recent_linear_25pct,0.14550077042651371
